year,lat,lng
1970,18.456792,-69.951164
1970,19.432608,-99.133207
1970,15.478598,120.599741
1970,37.983773,23.728157
1970,33.580412,130.396361
1970,37.005105,-89.176269
1970,-34.891151,-56.187214
1970,37.805065,-122.273024
1970,43.076592,-89.412488
1970,43.07295,-89.386694
1970,43.4685,-89.744299
1970,39.74001,-104.992259
1970,41.89052,12.494249
1970,42.331685,-83.047924
1970,18.399712,-66.049987
1970,52.516667,13.4
1970,,
1970,40.610069,-73.947971
1970,18.379998,-65.830948
1970,47.60356,-122.329439
1970,40.116748,-88.23927
1970,-34.891151,-56.187214
1970,47.610594,-122.317228
1970,47.655335,-122.30352
1970,40.728075,-74.077825
1970,14.624422,-90.53288
1970,14.677301,121.044348
1970,10.502961,-66.917253
1970,42.47031,-96.413949
1970,33.60651,-88.650419
1970,40.78306,-73.971249
1970,33.60651,-88.650419
1970,40.728224,-73.794852
1970,41.241996,-82.615241
1970,52.516667,13.4
1970,47.60356,-122.329439
1970,42.479999,-96.413046
1970,42.46634,-96.41405
1970,25.720851,-80.277857
1970,15.675051,120.331618
1970,39.748783,-105.022136
1970,45.511795,-122.675629
1970,37.005105,-89.176269
1970,40.78306,-73.971249
1970,40.844782,-73.864827
1970,40.78306,-73.971249
1970,41.084195,-81.514059
1970,39.74001,-104.992259
1970,47.608758,-122.329439
1970,47.60356,-122.329439
1970,18.460791,-66.264884
1970,18.399712,-66.049987
1970,18.441963,-66.026316
1970,42.3505,-71.105399
1970,42.838355,-88.743224
1970,40.751212,-73.903649
1970,40.678178,-73.944158
1970,40.78306,-73.971249
1970,39.07859,-84.179414
1970,48.139126,11.580186
1970,42.263414,-83.665281
1970,37.869885,-122.270539
1970,48.139126,11.580186
1970,37.869885,-122.270539
1970,40.78306,-73.971249
1970,44.04483,-123.072606
1970,37.777125,-122.419644
1970,37.869885,-122.270539
1970,37.869885,-122.270539
1970,37.775471,-122.403717
1970,37.805065,-122.273024
1970,39.334825,-77.431653
1970,30.493919,-90.132512
1970,47.655335,-122.30352
1970,41.504365,-81.690459
1970,38.10083,-122.254954
1970,41.763325,-72.674069
1970,40.807026,-73.960349
1970,47.655335,-122.30352
1970,50.111445,8.680615
1970,47.36865,8.539182
1970,40.733572,-74.002742
1970,40.678178,-73.944158
1970,40.78306,-73.971249
1970,39.74001,-104.992259
1970,42.455233,-76.475847
1970,43.287052,-89.724361
1970,42.47031,-96.413949
1970,42.47031,-96.413949
1970,42.47031,-96.413949
1970,42.47031,-96.413949
1970,32.222232,-110.925752
1970,39.74001,-104.992259
1970,40.101952,-88.227161
1970,40.007581,-105.265942
1970,31.532521,35.100248
1970,14.596051,120.978666
1970,41.89052,12.494249
1970,40.007581,-105.265942
1970,38.83345,-104.821814
1970,40.007581,-105.265942
1970,40.014986,-105.270546
1970,41.504365,-81.690459
1970,,
1970,39.751039,-104.930496
1970,47.655335,-122.30352
1970,37.805065,-122.273024
1970,38.019304,-122.134062
1970,39.735233,-104.986082
1970,47.60356,-122.329439
1970,39.73686,-104.981109
1970,18.46617,-66.106654
1970,14.624422,-90.53288
1970,42.331685,-83.047924
1970,42.331685,-83.047924
1970,37.869885,-122.270539
1970,33.83651,-86.254749
1970,41.18188,-73.191269
1970,35.084319,-106.619781
1970,39.53894,-76.348479
1970,48.139126,11.580186
1970,38.563122,-76.078063
1970,37.721897,-122.478209
1970,-23.550711,-46.633475
1970,40.102408,-88.227159
1970,40.712784,-74.007124
1970,40.712784,-74.005941
1970,41.88415,-87.632409
1970,41.88415,-87.632409
1970,40.78306,-73.971249
1970,44.260288,-88.397455
1970,44.268598,-88.42844
1970,,
1970,31.1980556,29.9191667
1970,40.609334,-74.028722
1970,33.766725,-118.192399
1970,18.46617,-66.106654
1970,45.783975,-108.505794
1970,34.105245,-117.294124
1970,34.04773,-118.204709
1970,39.226835,-84.453309
1970,45.511795,-122.675629
1970,42.331685,-83.047924
1970,38.897676,-77.03653
1970,40.78306,-73.971249
1970,40.78306,-73.971249
1970,40.844782,-73.864827
1970,40.844782,-73.864827
1970,40.78306,-73.971249
1970,28.538235,-81.377389
1970,15.153002,120.591942
1970,18.456792,-69.951164
1970,-27.583246,-56.683334
1970,40.78306,-73.971249
1970,41.508882,-81.611701
1970,37.93781,-122.342709
1970,37.777125,-122.419644
1970,-34.6037,-58.381503
1970,33.888629,35.495479
1970,40.85122,-90.864369
1970,32.3575,-84.95623
1970,14.624422,-90.53288
1970,33.580412,130.396361
1970,38.89037,-77.031959
1970,47.655335,-122.30352
1970,,
1970,42.7375,-84.483779
1970,42.455233,-76.475847
1970,29.717394,-95.401831
1970,15.185916,120.54187
1970,40.844782,-73.864827
1970,53.344104,-6.267494
1970,40.78306,-73.971249
1970,40.844782,-73.864827
1970,46.731958,-117.162603
1970,-30.034108,-51.217839
1970,-34.6037,-58.381503
1970,35.76625,-117.370674
1970,35.76625,-117.370674
1970,40.78306,-73.971249
1970,29.717394,-95.401831
1970,38.973065,-95.236534
1970,37.023676,-94.735504
1970,34.04773,-118.204709
1970,38.624421,-90.150603
1970,32.715695,-117.161719
1970,42.455233,-76.475847
1970,28.949564,-95.344371
1970,37.869885,-122.270539
1970,39.087921,-94.521196
1970,39.10296,-94.583062
1970,39.10296,-94.583062
1970,35.76625,-117.370674
1970,33.783824,-118.11409
1970,34.05349,-118.245319
1970,31.950001,35.933331
1970,34.05349,-118.245319
1970,34.0613,-118.203553
1970,34.04773,-118.204709
1970,39.10296,-94.583062
1970,39.10296,-94.583062
1970,39.099888,-94.579763
1970,35.76625,-117.370674
1970,37.805065,-122.273024
1970,47.60356,-122.329439
1970,47.60356,-122.329439
1970,47.60356,-122.329439
1970,47.60356,-122.329439
1970,40.728224,-73.794852
1970,38.954344,-95.255796
1970,,
1970,34.05349,-118.245319
1970,35.76625,-117.370674
1970,37.871899,-122.25854
1970,37.871899,-122.25854
1970,43.04181,-87.906844
1970,40.102408,-88.227159
1970,34.062685,-117.163181
1970,18.379626,-67.188421
1970,18.379626,-67.188421
1970,18.379626,-67.188421
1970,18.379626,-67.188421
1970,37.44466,-122.160794
1970,39.290555,-76.609604
1970,40.78306,-73.971249
1970,40.764469,-73.974488
1970,41.014836,28.961414
1970,39.952219,-75.193214
1970,42.7375,-84.483779
1970,42.7375,-84.483779
1970,42.7375,-84.483779
1970,30.443335,-91.186994
1970,30.443335,-91.186994
1970,45.031807,-93.336547
1970,41.657825,-91.526534
1970,41.312065,-72.928288
1970,42.056459,-87.675267
1970,33.882923,-117.929104
1970,42.025345,-93.620199
1970,38.788097,-90.497479
